1before|2after|3weight
（もやしもんリターンズ）Wake Up|（俺の妹がこんなに可愛いわけがない）Irony|1
（俺の妹がこんなに可愛いわけがない）Irony|（アイカツ！）カレンダーガール|1
（アイカツ！）カレンダーガール|（イナズマイレブン）流星ボーイ|1
（イナズマイレブン）流星ボーイ|（キン肉マンⅡ世）愛のマッスル|1
（キン肉マンⅡ世）愛のマッスル|（ガッチャマン）ガッチャマンの歌|1
（ガッチャマン）ガッチャマンの歌|（ガッチャマンクラウズ）Crowds|1
（ガッチャマンクラウズ）Crowds|（BECK）HIT IN THE USA|1
（BECK）HIT IN THE USA|（コードギアス）O2|1
（コードギアス）O2|（タッチ）タッチ|1
（タッチ）タッチ|（リトルバスターズ）Alicemagic|1
（リトルバスターズ）Alicemagic|（パワプロ８）Little Soldier|1
（パワプロ８）Little Soldier|（Aチャンネル）Morning Arch|1
（Aチャンネル）Morning Arch|（咲-saki- 阿知賀編）Futuristic Player|1
（咲-saki- 阿知賀編）Futuristic Player|（ラブひな）サクラサク|1
（ラブひな）サクラサク|（さくら荘のペットな彼女）DAYS of DASH|1
（さくら荘のペットな彼女）DAYS of DASH|（ガールス＆パンツァー）Dream Riser|1
（ガールス＆パンツァー）Dream Riser|（ソラノヲト）Girls be ambitious|1
（ソラノヲト）Girls be ambitious|（ストライクウィッチーズ）Bookmark A Head|1
（ストライクウィッチーズ）Bookmark A Head|（中二病でも恋がしたい）Sparkling Daydream|1
（中二病でも恋がしたい）Sparkling Daydream|（氷菓）優しさの理由|1
（氷菓）優しさの理由|（そふてにっ）つまさきだち|1
（そふてにっ）つまさきだち|（きんいろモザイク）Jumping!!|1
（きんいろモザイク）Jumping!!|（けんぷファー）あんりある♡パラダイス |1
（けんぷファー）あんりある♡パラダイス |（けんぷファー）ワンウェイ両想い|1
（けんぷファー）ワンウェイ両想い|end|1
start|（あの花）青い栞|1
（あの花）青い栞|（さくら荘のペットな彼女）君が夢を連れてきた|1
（さくら荘のペットな彼女）君が夢を連れてきた|（STARDRIVER）Shining Star|1
（STARDRIVER）Shining Star|（交響詩篇エウレカセブン）sakura|1
（交響詩篇エウレカセブン）sakura|（プリティーリズム・ディア マイ フューチャー）my Transform|1
（プリティーリズム・ディア マイ フューチャー）my Transform|（NARUTO）GO!!!|1
（NARUTO）GO!!!|（ボボボーボボーボボ）WILD CHALLENGER|1
